num,prov,poly_num,X,Y,Path
24059,QC,1,7753293.94857143,1436916.72857143,1752
35006,ON,1,7343816.69714286,1018218.72571429,1753
35006,ON,1,7341816.71428571,1021520.42,1754
35006,ON,1,7344792.66,1023519.88285714,1755
35006,ON,1,7345018.54571429,1024472.67714286,1756
35006,ON,1,7347134.98857143,1025539.73142857,1757
35006,ON,1,7350663.55428571,1024721.55428571,1758
35006,ON,1,7349221.94285714,1026958.36571429,1759
35006,ON,1,7355364.69714286,1030718.3,1760
35006,ON,1,7355824.82,1029985.61714286,1761
35006,ON,1,7357272.02285714,1030841.12285714,1762
35006,ON,1,7357308.97428571,1031924.61714286,1763
35006,ON,1,7362258.8,1034995.55714286,1764
35006,ON,1,7370353.47714286,1022228.08285714,1765
35006,ON,1,7379952.40857143,1028282.51714286,1766
35006,ON,1,7380930.11142857,1028122.46571429,1767
35006,ON,1,7385362.32857143,1021201.23142857,1768
35006,ON,1,7387439.93714286,1021421.58285714,1769
35006,ON,1,7392125.69714286,1023466.04857143,1770
35006,ON,1,7399189.55142857,1028492.80857143,1771
35006,ON,1,7399206.71142857,1015567.27714286,1772
35006,ON,1,7400203.54285714,1014032.16,1773
35006,ON,1,7402571.49142857,1012937.88,1774
35006,ON,1,7405235.43428571,1013610.59428571,1775
35006,ON,1,7409762.24,1016757.82285714,1776
35006,ON,1,7412404.46857143,1021129.85714286,1777
35006,ON,1,7417510.06,1026824.89428571,1778
35006,ON,1,7427039.02285714,1014920.06857143,1779
35006,ON,1,7444431.01428571,1024317.27428571,1780
35006,ON,1,7447483.45428571,1020397.46571429,1781
35006,ON,1,7443778.70571429,1007099.68857143,1782
35006,ON,1,7427786.25714286,998090.434285714,1783
35006,ON,1,7413873.50571429,987699.351428571,1784
35006,ON,1,7401497.52285714,983938.205714286,1785
35006,ON,1,7386470.90857143,983098.174285714,1786
35006,ON,1,7371705.57714286,985497.54,1787
35006,ON,1,7365922.49142857,985066.885714286,1788
35006,ON,1,7358197.71142857,997123.557142857,1789
35006,ON,1,7357012.14285714,996355.851428571,1790
35006,ON,1,7343816.69714286,1018218.72571429,1791
24064,QC,1,7626700.14571429,1246587.82571429,1792
24064,QC,1,7628216.20285714,1251023.19428571,1793
24064,QC,1,7631041.04571429,1250639.08,1794
24064,QC,1,7631151.62571429,1248938.06571429,1795
24064,QC,1,7629436.63714286,1248568.14,1796
24064,QC,1,7627572.27714286,1246205.30285714,1797
24064,QC,1,7626700.14571429,1246587.82571429,1798
59028,BC,1,3658201.49428571,2689764.33142857,1799
